OptionId,OptionValue
1569,Aaron Cadman (Greater Western Sydney)
1000,Aaron Francis (Sydney)
1126,Aaron Naughton (Western)
1134,Adam Cerra (Carlton)
556,Adam Kennedy (Greater Western Sydney)
856,Adam Saad (Carlton)
560,Adam Tomlinson (Melbourne)
584,Adam Treloar (Western)
711,Aidan Corr (North Melbourne)
1499,Aiden Begg (Collingwood)
1758,Aiden O'Driscoll (Western)
1572,Alex Cincotta (Carlton)
1459,Alex Davies (Gold Coast)
1092,Alex Keath (Western)
1746,Alex Mirkov (Carlton)
901,Alex Neal-Bullen (Melbourne)
887,Alex Pearce (Fremantle)
612,Alex Sexton (Gold Coast)
1078,Alex Witherden (West Coast)
967,Aliir Aliir (Port Adelaide)
84,Alwyn Davey (Essendon)
1120,Andrew Brayshaw (Fremantle)
437,Andrew Gaff (West Coast)
1029,Andrew McGrath (Essendon)
1750,Andy Moniz-Wakefield (Melbourne)
851,Angus Brayshaw (Melbourne)
1693,Angus Hastie (St Kilda)
1743,Angus McLennan (St Kilda)
1469,Angus Sheldrick (Sydney)
1556,Anthony Caminiti (St Kilda)
1372,Anthony Scott (Western)
1774,Archer Reid (West Coast)
1398,Archie Perkins (Essendon)
1779,Archie Roberts (Essendon)
1786,Arie Schoenmaker (St Kilda)
1562,Arthur Jones (Western)
1530,Ash Johnson (Collingwood)
1748,Ashton Moir (Carlton)
1119,Bailey Banfield (Fremantle)
888,Bailey Dale (Western)
1565,Bailey Humphrey (Gold Coast)
1551,Bailey Laurie (Melbourne)
1584,Bailey Macdonald (Hawthorn)
1228,Bailey Scott (North Melbourne)
1221,Bailey Smith (Western)
974,Bailey Williams (Western)
1818,Bailey J. Williams (West Coast)
1127,Bayley Fritsch (Melbourne)
1396,Beau McCreery (Collingwood)
1030,Ben Ainsworth (Gold Coast)
822,Ben Brown (Melbourne)
1489,Ben Hobbs (Essendon)
966,Ben Keays (Adelaide)
1251,Ben King (Gold Coast)
1053,Ben Long (Gold Coast)
1112,Ben McKay (Essendon)
1458,Ben Miller (Richmond)
1200,Ben Paton (St Kilda)
1506,Bigoa Nyuon (North Melbourne)
1660,Billy Dowling (Adelaide)
1205,Billy Frampton (Collingwood)
1822,Billy Wilson (Carlton)
808,Blake Acres (Carlton)
1576,Blake Drury (North Melbourne)
1002,Blake Hardwick (Hawthorn)
1701,Blake Howes (Melbourne)
1267,Bobby Hill (Collingwood)
1553,Bodhi Uwland (Gold Coast)
1783,Bodie Ryan (Hawthorn)
687,Brad Crouch (St Kilda)
1639,Bradley Close (Geelong)
592,Bradley Hill (St Kilda)
1476,Brady Hough (West Coast)
1382,Braeden Campbell (Sydney)
1037,Brandan Parfitt (Geelong)
565,Brandon Ellis (Gold Coast)
1600,Brandon Ryan (Brisbane)
1196,Brandon Starcevich (Brisbane)
1432,Brandon Walker (Fremantle)
1280,Brandon Zerk-Thatcher (Port Adelaide)
1454,Brayden Cook (Adelaide)
1014,Brayden Fiorini (Gold Coast)
1683,Brayden George (North Melbourne)
906,Brayden Maynard (Collingwood)
1034,Braydon Preuss (Greater Western Sydney)
1076,Brennan Cox (Fremantle)
1186,Brent Daniels (Greater Western Sydney)
749,Brodie Grundy (Sydney)
1456,Brodie Kemp (Carlton)
426,Brodie Smith (Adelaide)
1171,Brody Mihocek (Collingwood)
1777,Bruce Reville (Brisbane)
1420,Buku Khamis (Western)
1637,Caiden Cleary (Sydney)
908,Caleb Daniel (Western)
1278,Caleb Graham (Gold Coast)
902,Caleb Marchbank (Carlton)
1747,Caleb Mitchell (Sydney)
1416,Caleb Poulter (Western)
1307,Caleb Serong (Fremantle)
1825,Caleb Windsor (Melbourne)
213,Callan Ward (Greater Western Sydney)
938,Callum Ah Chee (Brisbane)
1253,Callum Coleman-Jones (North Melbourne)
1479,Callum Jamieson (West Coast)
944,Callum Mills (Sydney)
1224,Callum Wilkie (St Kilda)
1077,Callum M. Brown (Greater Western Sydney)
1654,Calsher Dear (Hawthorn)
422,Cameron Guthrie (Geelong)
1731,Cameron Mackenzie (Hawthorn)
1772,Cameron Rayner (Brisbane)
1547,Campbell Chesser (West Coast)
1529,Carter Michael (Brisbane)
1320,Chad Warner (Sydney)
579,Chad Wingard (Hawthorn)
1276,Changkuoth Jiath (Hawthorn)
1155,Charlie Ballard (Gold Coast)
810,Charlie Cameron (Brisbane)
1636,Charlie Clarke (Western)
1457,Charlie Comben (North Melbourne)
954,Charlie Curnow (Carlton)
1653,Charlie Dean (Collingwood)
443,Charlie Dixon (Port Adelaide)
1664,Charlie Edwards (Adelaide)
1385,Charlie Lazzaro (North Melbourne)
1152,Charlie Spargo (Melbourne)
1220,Chayce Jones (Adelaide)
1225,Chris Burgess (Adelaide)
962,Christian Petracca (Melbourne)
806,Christian Salem (Melbourne)
1690,Clay Hall (West Coast)
1806,Clay Tucker (Hawthorn)
937,Clayton Oliver (Melbourne)
1628,Coby Burgiel (West Coast)
1322,Cody Weightman (Western)
1727,Coen Livingstone (West Coast)
1742,Colby McKercher (North Melbourne)
1290,Connor Budarick (Gold Coast)
1272,Connor Idun (Greater Western Sydney)
1471,Connor Macdonald (Hawthorn)
1763,Connor O'Sullivan (Geelong)
1219,Connor Rozee (Port Adelaide)
926,Conor McKenna (Brisbane)
1201,Conor Nash (Hawthorn)
1406,Conor Stone (Greater Western Sydney)
1819,Conrad Williams (Fremantle)
1495,Cooper Hamilton (Greater Western Sydney)
1594,Cooper Harvey (North Melbourne)
1448,Cooper Sharman (St Kilda)
1792,Cooper Simpson (Fremantle)
1502,Cooper Stephens (Hawthorn)
1809,Cooper Vickery (Sydney)
1455,Corey Durdin (Carlton)
986,Corey Wagner (Fremantle)
1568,Corey Warner (Sydney)
1245,Curtis Taylor (North Melbourne)
1027,Dan Houston (Port Adelaide)
674,Dane Rampe (Sydney)
1630,Daniel Butler (St Kilda)
1648,Daniel Curtin (Adelaide)
823,Daniel McStay (Collingwood)
935,Daniel Rioli (Richmond)
1514,Daniel Turner (Melbourne)
1589,Dante Visentini (Port Adelaide)
955,Darcy Byrne-Jones (Port Adelaide)
1189,Darcy Cameron (Collingwood)
1115,Darcy Fogarty (Adelaide)
1249,Darcy Fort (Brisbane)
800,Darcy Gardiner (Brisbane)
1710,Darcy Jones (Greater Western Sydney)
971,Darcy Macpherson (Gold Coast)
907,Darcy Moore (Collingwood)
940,Darcy Parish (Essendon)
960,Darcy Tucker (North Melbourne)
1543,Darcy Wilmot (Brisbane)
1823,Darcy Wilson (St Kilda)
1184,Darragh Joyce (Brisbane)
1009,David Cuningham (Carlton)
451,David Swallow (Gold Coast)
608,Dayne Zorko (Brisbane)
1439,Denver Grainger-Barras (Hawthorn)
1295,Deven Robertson (Brisbane)
449,Dion Prestia (Richmond)
1614,Domanic Akuei (Carlton)
1523,Dominic Bedendo (Western)
1791,Dominic Sheed (West Coast)
952,Dougal Howard (St Kilda)
330,Dustin Martin (Richmond)
415,Dylan Grimes (Richmond)
1233,Dylan Moore (Hawthorn)
558,Dylan Shiel (Essendon)
1319,Dylan Stephens (North Melbourne)
1438,Dylan Williams (Port Adelaide)
431,Dyson Heppell (Essendon)
927,Ed Langdon (Melbourne)
1136,Ed Richards (Western)
1441,Eddie Ford (North Melbourne)
1615,Edward Allan (Collingwood)
1560,Elijah Hewett (West Coast)
1533,Elijah Hollands (Carlton)
1602,Elijah Tsatas (Essendon)
619,Elliot Yeo (West Coast)
1206,Elliott Himmelberg (Adelaide)
1417,Emerson Jeka (Geelong)
987,Eric Hipwood (Brisbane)
1383,Errol Gulden (Sydney)
1130,Esava Ratugolea (Port Adelaide)
932,Ethan Hughes (Fremantle)
1769,Ethan Phillips (Hawthorn)
1773,Ethan Read (Gold Coast)
1598,Ethan Stanley (Fremantle)
1408,Finlay Macrae (Collingwood)
1487,Finn Callaghan (Greater Western Sydney)
1366,Finn Maginness (Hawthorn)
1735,Finnbar Maley (North Melbourne)
1392,Francis Evans (Port Adelaide)
378,Gary Rohan (Geelong)
943,George Hewett (Carlton)
1799,George Stevens (Geelong)
1580,George Wardlaw (North Melbourne)
1048,Griffin Logue (North Melbourne)
1213,Gryan Miers (Geelong)
1676,Hamish Free (North Melbourne)
1775,Harley Reid (West Coast)
873,Harris Andrews (Brisbane)
1697,Harrison Himmelberg (Greater Western Sydney)
1711,Harrison Jones (Essendon)
1768,Harrison Petty (Melbourne)
1618,Harry Arnold (Sydney)
1590,Harry Barnett (West Coast)
564,Harry Cunningham (Sydney)
1656,Harry Demattia (Collingwood)
1333,Harry Edwards (West Coast)
1724,Harry Lemmey (Carlton)
1099,Harry McKay (Carlton)
1109,Harry Morrison (Hawthorn)
1065,Harry Perryman (Greater Western Sydney)
1561,Harry Rowston (Greater Western Sydney)
1338,Harry Schoenberg (Adelaide)
1381,Harry Sharp (Brisbane)
1546,Harry Sheezel (North Melbourne)
1680,Harvey Gallagher (Western)
1585,Harvey Harrison (Collingwood)
1709,Harvey Johnston (West Coast)
1804,Harvey Thomas (Greater Western Sydney)
1268,Hayden McLean (Sydney)
1299,Hayden Young (Fremantle)
1395,Heath Chapman (Fremantle)
1607,Henry Hustwaite (Hawthorn)
1793,Henry Smith (Brisbane)
1524,Hewago Oea (Gold Coast)
1761,Hudson O'Keeffe (Carlton)
1624,Hugh Bond (Adelaide)
1651,Hugh Davies (Fremantle)
1068,Hugh Greenwood (North Melbourne)
1705,Hugh Jackson (Port Adelaide)
1050,Hugh McCluggage (Brisbane)
1682,Hugo Garcia (St Kilda)
1423,Hugo Ralphsmith (Richmond)
1117,Hunter Clark (St Kilda)
1716,Indhi Kirk (Sydney)
1159,Isaac Cumming (Greater Western Sydney)
857,Isaac Heeney (Sydney)
1714,Isaac Keeler (St Kilda)
1263,Isaac Quaynor (Collingwood)
1061,Ivan Soldo (Port Adelaide)
1318,Izak Rankine (Adelaide)
781,Jack Billings (Melbourne)
1031,Jack Bowes (Geelong)
1365,Jack Buckley (Greater Western Sydney)
1588,Jack Buller (Sydney)
1345,Jack Bytel (Collingwood)
1497,Jack Carroll (Carlton)
593,Jack Crisp (Collingwood)
436,Jack Darling (West Coast)
1655,Jack Delean (Fremantle)
1446,Jack Ginnivan (Hawthorn)
1108,Jack Graham (Richmond)
383,Jack Gunston (Hawthorn)
1463,Jack Hayes (St Kilda)
1138,Jack Henry (Geelong)
1140,Jack Higgins (St Kilda)
1226,Jack Lukosius (Gold Coast)
1309,Jack Mahony (Gold Coast)
769,Jack Martin (Carlton)
1764,Jack O'Sullivan (Hawthorn)
1336,Jack Payne (Brisbane)
1154,Jack Petruccelle (West Coast)
1235,Jack Ross (Richmond)
1095,Jack Scrimshaw (Hawthorn)
991,Jack Silvagni (Carlton)
863,Jack Sinclair (St Kilda)
903,Jack Steele (St Kilda)
678,Jack Viney (Melbourne)
1480,Jack Williams (West Coast)
1521,Jackson Archer (North Melbourne)
1732,Jackson Macrae (Western)
1470,Jackson Mead (Port Adelaide)
1592,Jacob Bauer (Richmond)
972,Jacob Hopper (Richmond)
1719,Jacob Konstanty (Sydney)
1380,Jacob Koschitzke (Richmond)
1563,Jacob van Rooyen (Melbourne)
1508,Jacob Wehr (Greater Western Sydney)
