OptionId,OptionValue,OptionText
11,Accor Stadium,Stadium Australia
14,Adelaide Oval,Adelaide Oval
16,Blacktown,Blacktown
15,Blundstone Arena,Bellerive Oval
13,Cazaly's Stadium,Cazaly's Stadium
24,Coopers Stadium,Norwood Oval
17,ENGIE Stadium,Sydney Showground
4,Football Park,Football Park
6,Gabba,Gabba
3,GMHBA Stadium,Kardinia Park
20,Jiangwan Stadium,Jiangwan Stadium
9,Manuka Oval,Manuka Oval
21,Mars Stadium,Eureka Stadium
2,Marvel Stadium,Docklands
10,MCG,MCG
22,Optus Stadium,Perth Stadium
8,People First Stadium,Carrara
23,Riverway Stadium,Riverway Stadium
7,SCG,SCG
18,Sky Stadium,Wellington
1,Subiaco,Subiaco
25,Summit Sports Park,Summit Sports Park
12,TIO Stadium,Marrara Oval
19,TIO Traeger Park,Traeger Park
5,UTAS Stadium,York Park
